loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se,method,m
0.985490574,421.5415292,#1f77b4,tree,0.251838052,0.012259691,0.006725341,29.47815656,0.001718633,0.000857313,tree,baseline
0.985693427,98.43587066,#D55E00,NU,0.251889891,0.00286281,0.006664954,8.880199177,0.001703202,0.000258263,tree,NU
0.984982441,452.7473394,#009E73,"TR_{0,5}",0.251708201,0.013167249,0.006595543,26.11634851,0.001685464,0.000759542,tree,"TR_{0,5}"
0.985166158,403.6958319,#009E73,"TR_{5,5}",0.251755149,0.011740685,0.006609705,47.08928004,0.001689083,0.001369497,tree,"TR_{5,5}"
0.98522238,391.9819154,#009E73,"TR_{10,5}",0.251769516,0.011400009,0.006672431,56.9591699,0.001705112,0.001656543,tree,"TR_{10,5}"
0.984862289,398.9665366,#CC79A7,SL_{0.1},0.251677497,0.011603143,0.006722644,13.88417426,0.001717944,0.000403793,tree,SL_{0.1}
0.984442795,318.720684,#CC79A7,SL_{0.25},0.251570297,0.009269353,0.006615777,18.94901084,0.001690635,0.000551094,tree,SL_{0.25}
0.984820341,266.4386433,#CC79A7,SL_{0.5},0.251666777,0.007748834,0.006664339,17.12412774,0.001703044,0.000498021,tree,SL_{0.5}
0.984890699,205.0040149,#CC79A7,SL_{0.75},0.251684757,0.005962131,0.006618549,7.407923518,0.001691343,0.000215445,tree,SL_{0.75}
0.9847398,190.0362714,#CC79A7,SL_{0.9},0.251646195,0.005526824,0.006664893,5.145457517,0.001703186,0.000149645,tree,SL_{0.9}
0.985266595,295.871184,#F0E442,ABU,0.251780816,0.008604821,0.006610242,13.04231485,0.00168922,0.00037931,tree,ABU
0.985214917,241.2773746,#E69F00,BABU_{1},0.251767609,0.007017069,0.006551809,18.05885409,0.001674288,0.000525206,tree,BABU_{1}
0.985329512,203.3553518,#E69F00,BABU_{3},0.251796894,0.005914183,0.006594351,18.73643125,0.001685159,0.000544912,tree,BABU_{3}
0.985644288,158.6978017,#E69F00,BABU_{5},0.251877333,0.004615408,0.006901277,13.64254739,0.001763593,0.000396766,tree,BABU_{5}
0.985792854,150.9901395,#E69F00,BABU_{7},0.251915299,0.004391246,0.006790122,12.28258275,0.001735188,0.000357214,tree,BABU_{7}
0.985833413,133.7013803,#E69F00,BABU_{10},0.251925664,0.003888437,0.006650387,13.4811584,0.001699479,0.000392072,tree,BABU_{10}
0.986270148,97.71459912,#E69F00,BABU_{20},0.252037269,0.002841833,0.006971429,13.71626115,0.00178152,0.00039891,tree,BABU_{20}
0.981792839,206.6096341,#1f77b4,rf,0.250893111,0.006008827,0.006503896,4.141690844,0.001662044,0.000120453,rf,baseline
0.98183252,194.6558428,#009E73,TRrf,0.250903252,0.005661175,0.006497979,3.027328129,0.001660532,8.80E-05,rf,"TR_{0,5}"
0.982232903,134.8984461,#CC79A7,rf_{SL_{0.5}},0.251005568,0.003923251,0.006596138,3.132881082,0.001685616,9.11E-05,rf,SL_{0.5}
0.981803358,160.8052816,#F0E442,ABUrf,0.2508958,0.0046767,0.006535898,3.199846201,0.001670222,9.31E-05,rf,ABU
0.983847675,145.9399635,#D55E00,NUrf,0.251418216,0.004244372,0.006684255,4.89918638,0.001708134,0.000142483,rf,NU
0.982310355,193.7021262,#CC79A7,rf_{SL_{0.1}},0.251025361,0.005633438,0.006557784,4.572520123,0.001675815,0.000132983,rf,SL_{0.1}
0.982113644,162.6791679,#CC79A7,rf_{SL_{0.25}},0.250975092,0.004731198,0.006557838,3.481197369,0.001675828,0.000101244,rf,SL_{0.25}
0.982310999,121.4441936,#CC79A7,rf_{SL_{0.75}},0.251025525,0.003531961,0.006657563,3.624795514,0.001701313,0.00010542,rf,SL_{0.75}
0.982278195,110.5551657,#CC79A7,rf_{SL_{0.9}},0.251017142,0.003215276,0.006614179,1.840725444,0.001690226,5.35E-05,rf,SL_{0.9}
0.981212247,178.8458253,#E69F00,rf_{BABU_{1}},0.250744744,0.005201373,0.006419139,2.654501712,0.001640384,7.72E-05,rf,BABU_{1}
0.981214397,253.1919677,#E69F00,rf_{BABU_{5}},0.250745293,0.007363581,0.006292276,5.89604907,0.001607965,0.000171475,rf,BABU_{5}
0.975635541,129.1741474,#1f77b4,GTB,0.2493201,0.0034051,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,baseline
0.975923551,90.87747049,#CC79A7,GTB_{SL_{0.5}},0.2493937,0.002395579,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,SL_{0.5}
0.975687195,114.3614375,#CC79A7,GTB_{SL_{0.1}},0.2493333,0.003014629,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,SL_{0.1}
0.975728674,105.2541878,#CC79A7,GTB_{SL_{0.25}},0.2493439,0.002774557,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,SL_{0.25}
0.976922978,383.3362604,#CC79A7,GTB_{SL_{0.75}},0.2496491,0.01010495,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,SL_{0.75}
0.976218996,75.35555654,#CC79A8,GTB_{SL_{0.9}},0.2494692,0.001986413,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,SL_{0.9}
0.982047942,199.4489004,#009E73,TRrf2,0.250958302,0.005800572,0.006520311,5.749587704,0.001666239,0.000167215,rf,"TR_{5,5}"
0.98203626,192.6762777,#009E73,TRrf3,0.250955317,0.005603604,0.00654001,5.769022896,0.001671273,0.00016778,rf,"TR_{10,5}"
0.981,212.6047,#E69F00,rf_{BABU_{3}},0.2507,0.0062,0.00654001,5.769022896,0.001671273,0.00016778,rf,BABU_{3}
